 format: day,hour,value location:60_134 Start : 20200101 
22,900,0
22,1000,0
22,1100,0
22,1200,0
22,1300,0
22,1400,0
22,1500,0
22,1600,0
22,1700,0
22,1800,0
22,1900,0
22,2000,0
22,2100,0
22,2200,0
22,2300,0
23,0,0
23,100,0
23,200,0
23,300,0
23,400,0
23,500,0
23,600,0
23,700,0
23,800,0
23,900,0
23,1000,0
23,1100,0
23,1200,0
23,1300,0
23,1400,0
23,1500,0
23,1600,0
23,1700,0
23,1800,0
23,1900,0.2
23,2000,0.2
23,2100,0
23,2200,0
23,2300,0.7
24,0,0.4
24,100,2.5
24,200,8.3
24,300,10.8
24,400,5.6
24,500,4.1
24,600,4.5
24,700,1.8
24,800,1.4
24,900,1.9
24,1000,0.4
24,1100,1.4
24,1200,1.1
24,1300,1.5
24,1400,2.3
24,1500,1.5
24,1600,1.4
24,1700,0.8
24,1800,1.2
24,1900,0.1
24,2000,0
24,2100,0.7
24,2200,0.3
24,2300,0.5
25,0,0
25,100,0
25,200,0
25,300,0.3
25,400,0.2
25,500,0.4
25,600,0
25,700,0
25,800,0
25,900,0
25,1000,0.5
25,1100,0.3
25,1200,0.6
25,1300,1
25,1400,0.1
25,1500,0.4
25,1600,0.4
25,1700,0.3
25,1800,0.3
25,1900,0.2
25,2000,0
25,2100,0
25,2200,0
25,2300,0
26,0,0
26,100,0
26,200,0
26,300,0
26,400,0
26,500,0
26,600,0
26,700,0
26,800,0
26,900,0
26,1000,0
26,1100,0
26,1200,0
26,1300,0
26,1400,0
26,1500,0
26,1600,0
26,1700,0
26,1800,0
26,1900,0
26,2000,0
26,2100,0
26,2200,0
26,2300,0
27,0,0
27,100,0
27,200,0
27,300,0
27,400,0
27,500,0
27,600,0
27,700,0
27,800,0
27,900,0
27,1000,0
27,1100,0
27,1200,0
27,1300,0
27,1400,0
27,1500,0
27,1600,0
27,1700,0
27,1800,0
27,1900,0
27,2000,0
27,2100,0
27,2200,0
27,2300,0
28,0,0
28,100,0
28,200,0
28,300,0
28,400,0
28,500,0
28,600,0
28,700,0
28,800,0
28,900,0
28,1000,0
28,1100,0
28,1200,0
28,1300,0
28,1400,0
28,1500,0
28,1600,0
28,1700,0
28,1800,0
28,1900,0
28,2000,0
28,2100,0
28,2200,0
28,2300,0
29,0,0
29,100,0
29,200,0
29,300,0
29,400,0
29,500,0
29,600,0
29,700,0
29,800,0
29,900,0
29,1000,0
29,1100,0
29,1200,0
29,1300,2.6
29,1400,3.5
29,1500,2.8
29,1600,11.1
29,1700,3.1
29,1800,6.5
29,1900,10.3
29,2000,9.8
29,2100,3
29,2200,4.4
29,2300,0.9
30,0,0
30,100,0
30,200,0
30,300,0.1
30,400,0
30,500,0
30,600,0
30,700,0
30,800,0.3
30,900,0.2
30,1000,2.8
30,1100,0.3
30,1200,0
30,1300,0
30,1400,0.2
30,1500,0.3
30,1600,0.1
30,1700,0
30,1800,0
30,1900,0
30,2000,0
30,2100,0
30,2200,0
30,2300,0
 Start : 20200701 ,,
1,0,0
1,100,0
1,200,0
1,300,0
1,400,0
1,500,0
1,600,0
1,700,0
1,800,0
1,900,0
1,1000,0
1,1100,0
1,1200,0
1,1300,0
1,1400,0
1,1500,0
1,1600,0
1,1700,0
1,1800,0
1,1900,0
1,2000,0
1,2100,0
1,2200,0
1,2300,0
2,0,0
2,100,0
2,200,0
2,300,0
2,400,0
2,500,0
2,600,0
2,700,0
2,800,0
2,900,0
2,1000,0
2,1100,0
2,1200,0
2,1300,0
2,1400,0
2,1500,0
2,1600,0
2,1700,0
2,1800,0
2,1900,0
2,2000,0
2,2100,0
2,2200,0
2,2300,0
3,0,0
3,100,0
3,200,0
3,300,0
3,400,0
3,500,0
3,600,0
3,700,0
3,800,0
3,900,0
3,1000,0
3,1100,0
3,1200,0
3,1300,0
3,1400,0
3,1500,0
3,1600,0
3,1700,0.2
3,1800,0
3,1900,0
3,2000,0
3,2100,0
3,2200,0
3,2300,0
4,0,0
4,100,0
4,200,0
4,300,0
4,400,0
4,500,0
4,600,0
4,700,0
4,800,0
4,900,0
4,1000,0
4,1100,0
4,1200,0
4,1300,0
4,1400,0
4,1500,0
4,1600,0
4,1700,0
4,1800,0
4,1900,0
4,2000,0
4,2100,0
4,2200,0
4,2300,0
5,0,0
5,100,0
5,200,0
5,300,0
5,400,0
5,500,0
5,600,0
5,700,0
5,800,0
5,900,0
5,1000,0
5,1100,0
5,1200,0
5,1300,0
5,1400,0
5,1500,0
5,1600,0
5,1700,0
5,1800,0
5,1900,0
5,2000,0
5,2100,0
5,2200,0
5,2300,0
6,0,0
6,100,0
6,200,0
6,300,0
6,400,0
6,500,0
6,600,0
6,700,0
6,800,0
6,900,0
6,1000,0
6,1100,0
6,1200,0
6,1300,0
6,1400,0
6,1500,0
6,1600,0
6,1700,0
6,1800,0
6,1900,0
6,2000,0
6,2100,0
6,2200,0
6,2300,0
7,0,0
7,100,0
7,200,0
7,300,0
7,400,0
7,500,0
7,600,0
7,700,0
7,800,0
7,900,0
7,1000,0
7,1100,0
7,1200,0
7,1300,0
7,1400,0
7,1500,0
7,1600,0
7,1700,0
7,1800,0
7,1900,0
7,2000,0
7,2100,0
7,2200,0
7,2300,0
8,0,0
8,100,0
8,200,0
8,300,0
8,400,0
8,500,0
8,600,0
8,700,0
8,800,0
8,900,0
8,1000,0
8,1100,0
8,1200,0
8,1300,0
8,1400,0
8,1500,0
8,1600,0
8,1700,0
8,1800,0
8,1900,0
8,2000,0
8,2100,0
8,2200,0
8,2300,0
9,0,0
9,100,0
9,200,0
9,300,0
9,400,0
9,500,0
9,600,0
9,700,0
9,800,0
9,900,0
9,1000,0
9,1100,0
9,1200,0
9,1300,0
9,1400,0
9,1500,0
9,1600,0
9,1700,0
9,1800,0
9,1900,0
9,2000,0
9,2100,0
9,2200,0
9,2300,0
10,0,3.2
10,100,3.3
10,200,22.200001
10,300,9.1
10,400,2.2
10,500,0
10,600,0
10,700,0
10,800,0
10,900,0
10,1000,0
10,1100,0
10,1200,0
10,1300,0
10,1400,0
10,1500,0
10,1600,0
10,1700,0.1
10,1800,0
10,1900,0
10,2000,0
10,2100,0
10,2200,0
10,2300,0
11,0,0
11,100,0
11,200,0
11,300,0
11,400,0
11,500,0
11,600,0
11,700,0
11,800,0
11,900,0
11,1000,0
11,1100,0
11,1200,0
11,1300,0
11,1400,0
11,1500,0
11,1600,0
11,1700,0
11,1800,0
11,1900,0
11,2000,0
11,2100,0
11,2200,0
11,2300,0
12,0,0
12,100,0
12,200,0
12,300,0
12,400,0
12,500,0
12,600,0
12,700,0
12,800,0
12,900,0.3
12,1000,0.3
12,1100,0.2
12,1200,0
12,1300,0
12,1400,0
12,1500,0
12,1600,0
12,1700,0.1
12,1800,0.4
12,1900,0.2
12,2000,2.3
12,2100,4.1
12,2200,2.4
12,2300,0.1
13,0,0
13,100,0
13,200,0.1
13,300,0
13,400,0.1
13,500,0.1
13,600,0
13,700,0.5
13,800,1.1
13,900,0.8
13,1000,1.1
13,1100,0.4
13,1200,0.5
13,1300,0.9
13,1400,1.5
13,1500,1.6
13,1600,6.8
13,1700,0.4
13,1800,0
13,1900,0
13,2000,0
13,2100,0
13,2200,0
13,2300,0
14,0,0
14,100,0
14,200,0
14,300,0
14,400,0
14,500,0
14,600,0
14,700,0
14,800,0
14,900,0
14,1000,0
14,1100,0
14,1200,0
14,1300,0
14,1400,0
14,1500,0
14,1600,0
14,1700,0
14,1800,0
14,1900,0
14,2000,0
14,2100,0
14,2200,0
14,2300,0
15,0,0
15,100,0
15,200,0
15,300,0
15,400,0
15,500,0
15,600,0
15,700,0
15,800,0
15,900,0
15,1000,0
15,1100,0
15,1200,0
15,1300,0
15,1400,0
15,1500,0
15,1600,0
15,1700,0
15,1800,0
15,1900,0
15,2000,0
15,2100,0
15,2200,0
15,2300,0
16,0,0
16,100,0
16,200,0
16,300,0
16,400,0
16,500,0
16,600,0
16,700,0
16,800,0
16,900,0
16,1000,0
16,1100,0
16,1200,0
16,1300,0
16,1400,0
16,1500,0
16,1600,0
16,1700,0
16,1800,0
16,1900,0
16,2000,0
16,2100,0
16,2200,0
16,2300,0
17,0,0
17,100,0
17,200,0
17,300,0
17,400,0
17,500,0
17,600,0
17,700,0
17,800,0
17,900,0
17,1000,0
17,1100,0
17,1200,0
17,1300,0
17,1400,0
17,1500,0
17,1600,0
17,1700,0
17,1800,0
17,1900,0
17,2000,0
17,2100,0
17,2200,0
17,2300,0
18,0,0
18,100,0
18,200,0
18,300,0
18,400,0
18,500,8
18,600,0
18,700,0
18,800,0
18,900,0
18,1000,0
18,1100,0
18,1200,0
18,1300,0
18,1400,0
18,1500,0
18,1600,0
18,1700,0
18,1800,0
18,1900,0
18,2000,0
18,2100,0
18,2200,2.2
18,2300,3.6
19,0,11.8
19,100,2.5
19,200,0
19,300,0
19,400,0
19,500,0
19,600,0
19,700,0
19,800,0
19,900,0
19,1000,0
19,1100,0
19,1200,0
19,1300,0
19,1400,0.4
19,1500,0
19,1600,0.2
19,1700,0.6
19,1800,1
19,1900,0
19,2000,0.1
19,2100,0.2
19,2200,0
19,2300,0.3
20,0,0
20,100,0.2
20,200,0
20,300,0
20,400,0
20,500,0
20,600,0
20,700,0
20,800,0
20,900,0
20,1000,0
20,1100,0
20,1200,0
20,1300,0
20,1400,0
20,1500,0
20,1600,0.2
20,1700,0
20,1800,0
20,1900,0
20,2000,0
20,2100,0
20,2200,0
20,2300,0
21,0,0
21,100,0
21,200,0
21,300,0
21,400,0
21,500,0
21,600,0
21,700,0
21,800,0
21,900,0
21,1000,0
21,1100,0
21,1200,0
21,1300,0
21,1400,0
21,1500,0
21,1600,0
21,1700,0
21,1800,0
21,1900,0
21,2000,0
21,2100,0
21,2200,0
21,2300,0
22,0,0
22,100,0
22,200,0
22,300,0
22,400,0
22,500,1.1
22,600,0
22,700,0
22,800,0
22,900,0
22,1000,0
22,1100,0
22,1200,0.7
22,1300,0
22,1400,0
22,1500,0
22,1600,0
22,1700,0
22,1800,0
22,1900,0
22,2000,0
22,2100,0.1
22,2200,0.1
22,2300,0.1
23,0,0
23,100,0
23,200,0.3
23,300,1.7
23,400,0.7
23,500,0.7
23,600,6.4
23,700,7.5
23,800,8.7
23,900,12
23,1000,12.9
23,1100,18.299999
23,1200,14.1
23,1300,3.6
23,1400,8.1
23,1500,2.3
23,1600,0.3
23,1700,0
23,1800,0
23,1900,0.1
23,2000,0.3
23,2100,1.8
23,2200,0
23,2300,0
24,0,0
24,100,1.5
24,200,1.4
24,300,0
24,400,0
24,500,0
24,600,0
24,700,0
24,800,0
24,900,0
24,1000,0
24,1100,0
24,1200,0
24,1300,0
24,1400,0
24,1500,0
24,1600,0
24,1700,0
24,1800,0
24,1900,0
24,2000,0
24,2100,0
24,2200,0
24,2300,0
25,0,0
25,100,0
25,200,0
25,300,0
25,400,0
25,500,0
25,600,0
25,700,0
25,800,0
25,900,0
25,1000,0
25,1100,0
25,1200,0
25,1300,0
25,1400,0
25,1500,0
25,1600,0
25,1700,0
25,1800,0
25,1900,0
25,2000,0
25,2100,0
25,2200,0
25,2300,0
26,0,0
26,100,0
26,200,0
26,300,0
26,400,0
26,500,0
26,600,0
26,700,0
26,800,0
26,900,0
26,1000,0
26,1100,0
26,1200,1.1
26,1300,0
26,1400,0
26,1500,0.4
26,1600,0
26,1700,0
26,1800,0
26,1900,0
26,2000,0
26,2100,0
26,2200,0.2
26,2300,0
27,0,0
27,100,0.6
27,200,0.7
27,300,0.3
27,400,0.1
27,500,0
27,600,0.2
27,700,0
27,800,0
27,900,0
27,1000,0
27,1100,0
27,1200,0
27,1300,0
27,1400,0
27,1500,0
27,1600,0
27,1700,0
27,1800,0
27,1900,0
27,2000,0
27,2100,0
27,2200,0
27,2300,0
28,0,0
28,100,0
28,200,0
28,300,0
28,400,0
28,500,0
28,600,0
28,700,0
28,800,0
28,900,0
28,1000,0
28,1100,0
28,1200,0
28,1300,0
28,1400,0
28,1500,0
28,1600,0
28,1700,0
28,1800,0
28,1900,0
28,2000,1.9
28,2100,3.2
28,2200,1.4
28,2300,0.4
29,0,0
29,100,0
29,200,0
29,300,0.1
29,400,0.3
29,500,11.2
29,600,5.4
29,700,10.6
29,800,0.7
29,900,0.5
29,1000,0
29,1100,0
29,1200,0.5
29,1300,0
29,1400,0
29,1500,0
29,1600,0
29,1700,0
29,1800,0
29,1900,0
29,2000,0.3
29,2100,0
29,2200,0
29,2300,0
30,0,0
30,100,0
30,200,0
30,300,0
30,400,0
30,500,0
30,600,0
30,700,0
30,800,0
30,900,0
30,1000,0
30,1100,0
30,1200,0
30,1300,0
30,1400,0
30,1500,0
30,1600,0
30,1700,0
30,1800,0
30,1900,0
30,2000,0
30,2100,0
30,2200,0
30,2300,0
31,0,0
31,100,0
31,200,0
31,300,0
31,400,0
31,500,0
31,600,0
31,700,0
31,800,0
31,900,0
31,1000,0
31,1100,0
31,1200,0
31,1300,0
31,1400,5.1
31,1500,0.3
31,1600,0.2
31,1700,0
31,1800,1.8
31,1900,10.2
31,2000,3.7
31,2100,1.7
31,2200,3.9
31,2300,7
 Start : 20200801 ,,
1,0,17.299999
1,100,0
1,200,17.9
1,300,0.1
1,400,4.7
1,500,1.3
1,600,0.8
1,700,0
1,800,0
1,900,0
1,1000,0.1
1,1100,0.6
1,1200,0
1,1300,0.6
1,1400,1.1
1,1500,0.4
1,1600,0.1
1,1700,0
1,1800,0
1,1900,0
1,2000,0
1,2100,0
1,2200,0
1,2300,0
2,0,0
2,100,0.1
2,200,7
2,300,30
2,400,8.4
2,500,6.6
2,600,10.1
2,700,2.5
2,800,3.3
2,900,5.4
2,1000,2.1
2,1100,0.1
2,1200,0.4
2,1300,1.1
2,1400,0.3
2,1500,6.7
2,1600,19.299999
2,1700,0.2
2,1800,1
2,1900,1.9
2,2000,5.7
2,2100,8.1
2,2200,23.5
2,2300,6.1
3,0,0.8
3,100,1.5
3,200,1.8
3,300,1.4
3,400,0.8
3,500,0
3,600,0
3,700,0
3,800,0
3,900,0
3,1000,2.3
3,1100,0.5
3,1200,0
3,1300,0
3,1400,1.3
3,1500,0
3,1600,0
3,1700,0
3,1800,0
3,1900,0
3,2000,0.2
3,2100,2.3
3,2200,0
3,2300,7
4,0,0.1
4,100,1.4
4,200,26.1
4,300,7.8
4,400,6.6
4,500,0
4,600,0.5
4,700,0.4
4,800,2.3
4,900,0
4,1000,0
4,1100,0
4,1200,0
4,1300,2.4
4,1400,0.5
4,1500,0
4,1600,0
4,1700,0
4,1800,0
4,1900,0
4,2000,0.7
4,2100,17.799999
4,2200,13.8
4,2300,0.8
5,0,3.9
5,100,0.5
5,200,0
5,300,0.9
5,400,1.9
5,500,0.3
5,600,0
5,700,15.1
5,800,0
5,900,1.8
5,1000,0
5,1100,0.8
5,1200,0
5,1300,0
5,1400,1.7
5,1500,12
5,1600,10.2
5,1700,8.5
5,1800,5.5
5,1900,23.200001
5,2000,13.9
5,2100,7.7
5,2200,0.3
5,2300,0
6,0,0.5
6,100,0.5
6,200,0
6,300,0.1
6,400,0.1
6,500,0
6,600,0
6,700,0
6,800,0
6,900,0
6,1000,0
6,1100,0
6,1200,0
6,1300,0
6,1400,0
6,1500,0
6,1600,0
6,1700,0
6,1800,0
6,1900,0
6,2000,0
6,2100,0
6,2200,0
6,2300,0
7,0,0
7,100,0
7,200,0
7,300,0
7,400,0
7,500,0
7,600,0
7,700,0
7,800,0
7,900,0
7,1000,0
7,1100,0
7,1200,0
7,1300,0
7,1400,0
7,1500,0
7,1600,0
7,1700,0
7,1800,0
7,1900,0
7,2000,0
7,2100,0
7,2200,0
7,2300,0
8,0,0
8,100,0
8,200,0
8,300,0
8,400,0
8,500,0
8,600,0
8,700,0
8,800,0
8,900,0
8,1000,0
8,1100,2.6
8,1200,4.2
8,1300,1.6
8,1400,4.6
8,1500,0.5
8,1600,0.1
8,1700,0.3
8,1800,0.9
8,1900,1.6
8,2000,2.3
8,2100,1.4
8,2200,0.5
8,2300,6.2
9,0,7.1
9,100,12.8
9,200,6.1
9,300,26.1
9,400,27.1
9,500,13.7
9,600,14.3
9,700,2.2
9,800,0.3
9,900,1.5
9,1000,1.7
9,1100,1.3
9,1200,0.5
9,1300,0
9,1400,0
9,1500,0.2
9,1600,0.1
9,1700,0.2
9,1800,3
9,1900,1.6
9,2000,0
9,2100,0
9,2200,0.1
9,2300,0
10,0,0.5
10,100,2
10,200,8.3
10,300,0.4
10,400,0
10,500,0.2
10,600,0
10,700,0.3
10,800,12.3
10,900,5.5
10,1000,0
10,1100,0
10,1200,0
10,1300,1.5
10,1400,12.3
10,1500,4.2
10,1600,6.4
10,1700,18.5
10,1800,7
10,1900,6.9
10,2000,4.6
10,2100,4.9
10,2200,4.2
10,2300,0
11,0,0
11,100,0
11,200,0
11,300,0.6
11,400,0
11,500,0
11,600,0
11,700,0
11,800,0
11,900,0
11,1000,0
11,1100,0
11,1200,0
11,1300,0
11,1400,0
11,1500,0
11,1600,0
11,1700,0
11,1800,0
11,1900,0
11,2000,0
11,2100,0
11,2200,0
11,2300,0
12,0,0
12,100,0
12,200,0
12,300,0
12,400,0
12,500,0
12,600,0
12,700,0
12,800,0
12,900,0
12,1000,0
12,1100,0
12,1200,0
12,1300,0
12,1400,0
12,1500,0
12,1600,0
12,1700,0
12,1800,0
12,1900,0
12,2000,0
12,2100,0
12,2200,0
12,2300,0
13,0,0
13,100,0
13,200,0
13,300,0.2
13,400,0
13,500,0
13,600,0
13,700,0
13,800,0
13,900,0
13,1000,0
13,1100,0
13,1200,0
13,1300,0
13,1400,0
13,1500,0
13,1600,0
13,1700,0
13,1800,0
13,1900,0
13,2000,0
13,2100,0
13,2200,0
13,2300,0.1
14,0,0
14,100,0
14,200,1.4
14,300,0.4
14,400,0
14,500,0
14,600,0
14,700,0
14,800,0
14,900,0
14,1000,0
14,1100,0
14,1200,0.2
14,1300,0
14,1400,0
14,1500,0
14,1600,0
14,1700,0
14,1800,0
14,1900,0
14,2000,0
14,2100,0.9
14,2200,0.7
14,2300,0.1
15,0,0.1
15,100,0.1
15,200,0.2
15,300,0.1
15,400,0
15,500,0
15,600,0
15,700,0
15,800,0
15,900,0
15,1000,0
15,1100,0
15,1200,0
15,1300,0
15,1400,0
15,1500,0
15,1600,0
15,1700,0
15,1800,0
15,1900,0
15,2000,0
15,2100,0
15,2200,0
15,2300,0
16,0,0
16,100,0
16,200,0
16,300,0
16,400,0
16,500,0
16,600,0
16,700,0
16,800,0
16,900,0
16,1000,0
16,1100,0
16,1200,0
16,1300,0
16,1400,0
16,1500,0
16,1600,0
16,1700,0
16,1800,0
16,1900,0
16,2000,0
16,2100,0
16,2200,0
16,2300,0
17,0,0
17,100,0
17,200,0
17,300,0
17,400,0
17,500,0
17,600,0
17,700,0
17,800,0
17,900,0
17,1000,0
17,1100,0
17,1200,0
17,1300,0
17,1400,0
17,1500,0
17,1600,0
17,1700,0
17,1800,0
17,1900,0
17,2000,0
17,2100,0
17,2200,0
17,2300,0
18,0,0
18,100,0
18,200,0
18,300,0
18,400,0
18,500,0
18,600,0
18,700,0
18,800,0
18,900,0
18,1000,0
18,1100,0
18,1200,0
18,1300,0
18,1400,0
18,1500,0
18,1600,0
18,1700,0
18,1800,0
18,1900,0
18,2000,0
18,2100,0
18,2200,0
18,2300,0
19,0,0
19,100,0
19,200,0
19,300,0
19,400,0
19,500,0
19,600,0
19,700,0
19,800,0
19,900,0
19,1000,0
19,1100,0
19,1200,0
19,1300,0
19,1400,0
19,1500,0
19,1600,0
19,1700,0
19,1800,0
19,1900,0
19,2000,0
19,2100,0
19,2200,0
19,2300,0
20,0,0
20,100,0
20,200,0
20,300,0
20,400,0
20,500,0
20,600,0
20,700,0
20,800,0
20,900,0
20,1000,0
20,1100,0
20,1200,0
20,1300,0
20,1400,0
20,1500,0
20,1600,0
20,1700,0
20,1800,0
20,1900,0
20,2000,0
20,2100,0
20,2200,1.8
20,2300,2.9
21,0,2.7
21,100,2.8
21,200,0
21,300,0
21,400,0
21,500,0
21,600,0
21,700,0
21,800,0
21,900,0
21,1000,0
21,1100,0
21,1200,0
21,1300,0
21,1400,0
21,1500,0
21,1600,0
21,1700,0
21,1800,0
21,1900,0
21,2000,0
21,2100,0
21,2200,0
21,2300,0
22,0,0
22,100,0
22,200,0
22,300,0
22,400,0
22,500,0
22,600,4.8
22,700,0.3
22,800,1.8
22,900,3.3
22,1000,0
22,1100,0
22,1200,0
22,1300,0
22,1400,0
22,1500,0
22,1600,0
22,1700,0
22,1800,0
22,1900,0
22,2000,0
22,2100,0
22,2200,0
22,2300,0
23,0,0
23,100,0
23,200,0
23,300,0
23,400,0
23,500,0
23,600,0
23,700,0
23,800,0
23,900,0
23,1000,0
23,1100,0
23,1200,0
23,1300,0
23,1400,0
23,1500,0
23,1600,0
23,1700,0
23,1800,0
23,1900,0
23,2000,0
23,2100,0
23,2200,0
23,2300,0
24,0,0
24,100,0
24,200,0
24,300,0
24,400,0
24,500,0
24,600,0
24,700,0
24,800,0
24,900,0
24,1000,0
24,1100,0
24,1200,0
24,1300,0
24,1400,0
24,1500,0
24,1600,0
24,1700,0
24,1800,0
24,1900,0
24,2000,0
24,2100,0
24,2200,0
24,2300,0
25,0,0
25,100,0
25,200,0
25,300,0
25,400,0
25,500,0
25,600,0
25,700,0
25,800,0
25,900,0
25,1000,0
25,1100,0
25,1200,0
25,1300,0
25,1400,0
25,1500,0
25,1600,0
25,1700,0
25,1800,0
25,1900,0
25,2000,0
25,2100,0
25,2200,0
25,2300,0
26,0,0
26,100,0
26,200,0
26,300,0
26,400,0
26,500,0
26,600,0
26,700,0
26,800,0
26,900,0
26,1000,0
26,1100,0
26,1200,0
26,1300,0
26,1400,0
26,1500,0
26,1600,0.2
26,1700,0.9
26,1800,0
26,1900,0
26,2000,0
26,2100,0.9
26,2200,3.1
26,2300,0.6
27,0,1.3
27,100,0.1
27,200,0
27,300,0.7
27,400,2.9
27,500,0
27,600,0
27,700,0
27,800,0
27,900,0.2
27,1000,0
27,1100,0
27,1200,0
27,1300,0.2
27,1400,0
27,1500,0.3
27,1600,2.5
27,1700,0.1
27,1800,0
27,1900,0
27,2000,2.1
27,2100,3.3
27,2200,0
27,2300,0
28,0,0
28,100,0.4
28,200,1.9
28,300,2.2
28,400,1.1
28,500,3.4
28,600,2.1
28,700,0
28,800,0
28,900,0
28,1000,0
28,1100,0
28,1200,0
28,1300,0
28,1400,0
28,1500,0
28,1600,0
28,1700,0
28,1800,0
28,1900,0
28,2000,0
28,2100,0
28,2200,0
28,2300,0
29,0,0
29,100,0
29,200,0
29,300,10.8
29,400,1.4
29,500,0
29,600,0
29,700,0
29,800,0
29,900,0.2
29,1000,2.3
29,1100,0.1
29,1200,0.4
29,1300,0
29,1400,0
29,1500,0
29,1600,0
29,1700,0
29,1800,0
29,1900,0
29,2000,0
29,2100,0
29,2200,0
29,2300,0
30,0,0
30,100,0
30,200,0
30,300,0
30,400,0
30,500,0
30,600,0
30,700,0
30,800,0
30,900,0
30,1000,0
30,1100,0.5
30,1200,4.5
30,1300,0.3
30,1400,0
30,1500,0
30,1600,0
30,1700,0
30,1800,0
30,1900,0
30,2000,0
30,2100,0
30,2200,0
30,2300,0
31,0,0
31,100,0
31,200,0
31,300,0
31,400,0
31,500,0
31,600,0
31,700,0
31,800,0
31,900,0
31,1000,0
31,1100,0
31,1200,0
31,1300,0
31,1400,0
31,1500,0
31,1600,0
31,1700,0
31,1800,0
31,1900,0
31,2000,0
31,2100,0
31,2200,0
31,2300,0
 Start : 20200901 ,,
1,0,0
1,100,0
1,200,0
1,300,0
1,400,0
1,500,0
1,600,0
1,700,0
1,800,0
1,900,0
1,1000,0
1,1100,0
1,1200,0
1,1300,0
1,1400,0
1,1500,0
1,1600,0
1,1700,0
1,1800,0
1,1900,0
1,2000,0.1
1,2100,0
1,2200,0.2
1,2300,0.7
2,0,1
2,100,0.3
2,200,0.8
2,300,0.9
2,400,0.9
2,500,0.3
2,600,2
2,700,0.1
2,800,3.9
2,900,7.7
2,1000,0.5
2,1100,0.1
2,1200,0.5
2,1300,0.3
2,1400,0.8
2,1500,3.3
2,1600,3.9
2,1700,6.4
2,1800,4.8
2,1900,4
2,2000,2.3
2,2100,2.1
2,2200,4.2
2,2300,2.4
3,0,0.1
3,100,0
3,200,0
3,300,0
3,400,0
3,500,0
3,600,0
3,700,0
3,800,0
3,900,0
3,1000,0
3,1100,0
3,1200,0
3,1300,0
3,1400,0
3,1500,0
3,1600,0
3,1700,0
3,1800,0
3,1900,0
3,2000,0
3,2100,0
3,2200,0
3,2300,0
4,0,0
4,100,0
4,200,0
4,300,0
4,400,0
4,500,0
4,600,0
4,700,0
4,800,0
4,900,0
4,1000,0
4,1100,0
4,1200,0
4,1300,0
4,1400,0
4,1500,0
4,1600,0
4,1700,0
4,1800,0
4,1900,0
4,2000,0
4,2100,0
4,2200,0
4,2300,0
5,0,0
5,100,0
5,200,0
5,300,0
5,400,0
5,500,0
5,600,0
5,700,0
5,800,0
5,900,0
5,1000,0
5,1100,0
5,1200,0
5,1300,0
5,1400,0
5,1500,0
5,1600,0
5,1700,0
5,1800,0
5,1900,0
5,2000,0
5,2100,0
5,2200,0
5,2300,0
6,0,0
6,100,0
6,200,0
6,300,0
6,400,0
6,500,0
6,600,0
6,700,0
6,800,0
6,900,0
6,1000,0
6,1100,0.7
6,1200,0.1
6,1300,0.5
6,1400,2
6,1500,1.1
6,1600,1.1
6,1700,2.4
6,1800,3
6,1900,0.9
6,2000,0
6,2100,1
6,2200,6.1
6,2300,6.1
7,0,3.5
7,100,4.1
7,200,2.6
7,300,1.2
7,400,0.8
7,500,0.5
7,600,0.2
7,700,0.5
7,800,0.8
7,900,0.4
7,1000,1.5
7,1100,3.3
7,1200,2
7,1300,1.1
7,1400,0.1
7,1500,0
7,1600,0
7,1700,0
7,1800,0
7,1900,0
7,2000,0
7,2100,0
7,2200,0
7,2300,0
8,0,0
8,100,0
8,200,0
8,300,0
8,400,0
8,500,0
8,600,0
8,700,0
8,800,0
8,900,0
8,1000,0
8,1100,0
8,1200,0
8,1300,0
8,1400,0
8,1500,0
8,1600,0.2
8,1700,0.1
8,1800,2.5
8,1900,4.1
8,2000,1.7
8,2100,0.9
8,2200,0
8,2300,0
9,0,0
9,100,0
9,200,0
9,300,6.4
9,400,0.7
9,500,0
9,600,0.7
9,700,0
9,800,0
9,900,0
9,1000,0
9,1100,0
9,1200,0
9,1300,0
9,1400,0
9,1500,0
9,1600,1.2
9,1700,0
9,1800,0.5
9,1900,0.2
9,2000,0
9,2100,0
9,2200,0
9,2300,0
10,0,0
10,100,0
10,200,0
10,300,0
10,400,0
10,500,0
10,600,0
10,700,0
10,800,0
10,900,0
10,1000,0
10,1100,0
10,1200,0
10,1300,0
10,1400,0
10,1500,0
10,1600,0
10,1700,0
10,1800,0
10,1900,0
10,2000,0
10,2100,0
10,2200,0
10,2300,0
11,0,0
11,100,0
11,200,0
11,300,0
11,400,0
11,500,0
11,600,0
11,700,0.2
11,800,0.5
11,900,0.2
11,1000,0
11,1100,0
11,1200,0
11,1300,0
11,1400,0
11,1500,0.3
11,1600,0.5
11,1700,0.7
11,1800,1.3
11,1900,0.7
11,2000,0.4
11,2100,0
11,2200,0
11,2300,0
12,0,0.1
12,100,0.2
12,200,0.2
12,300,0
12,400,0
12,500,0
12,600,0
12,700,0
12,800,0
12,900,0
12,1000,0
12,1100,0
12,1200,0
12,1300,0
12,1400,0
12,1500,0
12,1600,0
12,1700,0
12,1800,0
12,1900,0
12,2000,0
12,2100,0
12,2200,0
12,2300,0
13,0,0
13,100,0
13,200,0
13,300,0
13,400,0
13,500,0
13,600,0
13,700,0
13,800,0
13,900,0
13,1000,0
